txn_type,txn_id,account,project,amount_minor,memo,true_cost_code
JournalEntry,PAY-20251028,Wages,PRJ-002,927389,Site payroll allocation — fortnight ending 2025-10-28,01-50-00
JournalEntry,PAY-20251028,Wages,PRJ-003,762941,Site payroll allocation — fortnight ending 2025-10-28,01-50-00
JournalEntry,PAY-20251028,Wages,PRJ-004,861357,Site payroll allocation — fortnight ending 2025-10-28,01-50-00
JournalEntry,PAY-20251028,Wages,PRJ-005,781087,Site payroll allocation — fortnight ending 2025-10-28,01-50-00
Bill,B-10205,Subcontractors,PRJ-001,947200,Carpentry package — Westhaven Warehouse Extension — Oct 2025,06-10-00
Bill,B-10215,Subcontractors,PRJ-002,1062982,Electrical services — Meridian Medical Centre Fitout — Oct 2025,26-00-00
Bill,B-10219,Subcontractors,PRJ-003,795077,Carpentry package — Ashgrove Apartment Refurbishment — Oct 2025,06-10-00
Bill,B-10210,Preliminaries,PRJ-002,1318586,Site Services — Meridian Medical Centre Fitout — Oct 2025,01-50-00
Bill,B-10211,Materials,PRJ-002,1848000,Concrete supply — Meridian Medical Centre Fitout — Oct 2025,03-30-00
Bill,B-10226,Materials,PRJ-004,2250600,Structural steel — Murrin Bridge Repair — Oct 2025,05-12-00
Bill,B-10264,Subcontractors,PRJ-004,1259077,Partitions and linings — Murrin Bridge Repair — Nov 2025,09-21-00
Bill,B-10248,Demolition,PRJ-002,769745,Demolition works — Meridian Medical Centre Fitout — Nov 2025,02-41-00
Bill,B-10243,Subcontractors,PRJ-001,932400,Painting package — Westhaven Warehouse Extension — Nov 2025,09-90-00
Bill,B-10266,Subcontractors,PRJ-004,1259077,Mechanical services — Murrin Bridge Repair — Nov 2025,23-00-00
Bill,B-10273,Subcontractors,PRJ-005,984400,Hydraulic services — Ironbank Industrial Slab — Nov 2025,22-00-00
Bill,B-10254,Preliminaries,PRJ-003,769969,Site Services — Ashgrove Apartment Refurbishment — Nov 2025,01-50-00
Bill,B-10275,Subcontractors,PRJ-005,983250,Electrical services — Ironbank Industrial Slab — Nov 2025,26-00-00
Bill,B-10257,Subcontractors,PRJ-003,633969,Painting package — Ashgrove Apartment Refurbishment — Nov 2025,09-90-00
Bill,B-10270,Materials,PRJ-005,1736040,Concrete supply — Ironbank Industrial Slab — Nov 2025,03-30-00
Bill,B-10261,Materials,PRJ-004,2038846,Concrete supply — Murrin Bridge Repair — Nov 2025,03-30-00
Bill,B-10258,Subcontractors,PRJ-003,736492,Mechanical services — Ashgrove Apartment Refurbishment — Nov 2025,23-00-00
Bill,B-10274,Subcontractors,PRJ-005,1067200,Mechanical services — Ironbank Industrial Slab — Nov 2025,23-00-00
Bill,B-10262,Materials,PRJ-004,2250600,Structural steel — Murrin Bridge Repair — Nov 2025,05-12-00
Bill,B-10244,Subcontractors,PRJ-001,935360,Hydraulic services — Westhaven Warehouse Extension — Nov 2025,22-00-00
Bill,B-10267,Subcontractors,PRJ-004,1184677,Electrical services — Murrin Bridge Repair — Nov 2025,26-00-00
Bill,B-10268,Plant Hire,PRJ-004,1236185,Earthworks and plant — Murrin Bridge Repair — Nov 2025,31-23-00
JournalEntry,PAY-20251114,Wages,PRJ-001,804294,Site payroll allocation — fortnight ending 2025-11-14,01-50-00
JournalEntry,PAY-20251114,Wages,PRJ-002,802910,Site payroll allocation — fortnight ending 2025-11-14,01-50-00
JournalEntry,PAY-20251114,Wages,PRJ-003,943605,Site payroll allocation — fortnight ending 2025-11-14,01-50-00
JournalEntry,PAY-20251114,Wages,PRJ-004,593551,Site payroll allocation — fortnight ending 2025-11-14,01-50-00
JournalEntry,PAY-20251114,Wages,PRJ-005,856403,Site payroll allocation — fortnight ending 2025-11-14,01-50-00
Bill,B-10242,Subcontractors,PRJ-001,1480000,Partitions and linings — Westhaven Warehouse Extension — Nov 2025,09-21-00
Bill,B-10245,Subcontractors,PRJ-001,1337920,Mechanical services — Westhaven Warehouse Extension — Nov 2025,23-00-00
Bill,B-10253,Subcontractors,PRJ-002,852218,Electrical services — Meridian Medical Centre Fitout — Nov 2025,26-00-00
Bill,B-10255,Subcontractors,PRJ-003,928985,Carpentry package — Ashgrove Apartment Refurbishment — Nov 2025,06-10-00
Bill,B-10251,Subcontractors,PRJ-002,855273,Hydraulic services — Meridian Medical Centre Fitout — Nov 2025,22-00-00
Bill,B-10265,Subcontractors,PRJ-004,918554,Painting package — Murrin Bridge Repair — Nov 2025,09-90-00
Bill,B-10252,Subcontractors,PRJ-002,790109,Mechanical services — Meridian Medical Centre Fitout — Nov 2025,23-00-00
Bill,B-10263,Subcontractors,PRJ-004,1373538,Carpentry package — Murrin Bridge Repair — Nov 2025,06-10-00
Bill,B-10260,Demolition,PRJ-004,686769,Demolition works — Murrin Bridge Repair — Nov 2025,02-41-00
Bill,B-10239,Preliminaries,PRJ-001,1195840,Site Services — Westhaven Warehouse Extension — Nov 2025,01-50-00
Bill,B-10247,Preliminaries,PRJ-002,1457385,Site Services — Meridian Medical Centre Fitout — Nov 2025,01-50-00
Bill,B-10240,Demolition,PRJ-001,1003440,Demolition works — Westhaven Warehouse Extension — Nov 2025,02-41-00
Bill,B-10241,Subcontractors,PRJ-001,1444480,Carpentry package — Westhaven Warehouse Extension — Nov 2025,06-10-00
Bill,B-10256,Subcontractors,PRJ-003,1035692,Partitions and linings — Ashgrove Apartment Refurbishment — Nov 2025,09-21-00
Bill,B-10271,Subcontractors,PRJ-005,1048800,Carpentry package — Ironbank Industrial Slab — Nov 2025,06-10-00
Bill,B-10272,Subcontractors,PRJ-005,862500,Painting package — Ironbank Industrial Slab — Nov 2025,09-90-00
Bill,B-10269,Preliminaries,PRJ-005,754400,Site Services — Ironbank Industrial Slab — Nov 2025,01-50-00
Bill,B-10259,Subcontractors,PRJ-003,960369,Electrical services — Ashgrove Apartment Refurbishment — Nov 2025,26-00-00
Bill,B-10246,Subcontractors,PRJ-001,1172160,Electrical services — Westhaven Warehouse Extension — Nov 2025,26-00-00
Bill,B-10250,Subcontractors,PRJ-002,464291,Painting package — Meridian Medical Centre Fitout — Nov 2025,09-90-00
Bill,B-10249,Materials,PRJ-002,1389818,Structural steel — Meridian Medical Centre Fitout — Nov 2025,05-12-00
JournalEntry,PAY-20251128,Wages,PRJ-001,910624,Site payroll allocation — fortnight ending 2025-11-28,01-50-00
JournalEntry,PAY-20251128,Wages,PRJ-002,862094,Site payroll allocation — fortnight ending 2025-11-28,01-50-00
JournalEntry,PAY-20251128,Wages,PRJ-003,946039,Site payroll allocation — fortnight ending 2025-11-28,01-50-00
JournalEntry,PAY-20251128,Wages,PRJ-004,788687,Site payroll allocation — fortnight ending 2025-11-28,01-50-00
JournalEntry,PAY-20251128,Wages,PRJ-005,668654,Site payroll allocation — fortnight ending 2025-11-28,01-50-00
Bill,B-10281,Preliminaries,PRJ-002,1295453,Site Services — Meridian Medical Centre Fitout — Dec 2025,01-50-00
Bill,B-10285,Subcontractors,PRJ-002,676073,Carpentry package — Meridian Medical Centre Fitout — Dec 2025,06-10-00
Bill,B-10282,Demolition,PRJ-002,537600,Demolition works — Meridian Medical Centre Fitout — Dec 2025,02-41-00
Bill,B-10311,Subcontractors,PRJ-005,1113200,Mechanical services — Ironbank Industrial Slab — Dec 2025,23-00-00
Bill,B-10309,Subcontractors,PRJ-005,862500,Partitions and linings — Ironbank Industrial Slab — Dec 2025,09-21-00
Bill,B-10295,Subcontractors,PRJ-003,728123,Painting package — Ashgrove Apartment Refurbishment — Dec 2025,09-90-00
Bill,B-10300,Demolition,PRJ-004,789785,Demolition works — Murrin Bridge Repair — Dec 2025,02-41-00
Bill,B-10304,Subcontractors,PRJ-004,1213292,Mechanical services — Murrin Bridge Repair — Dec 2025,23-00-00
Bill,B-10310,Subcontractors,PRJ-005,876300,Painting package — Ironbank Industrial Slab — Dec 2025,09-90-00
JournalEntry,PAY-20251214,Wages,PRJ-002,1011115,Site payroll allocation — fortnight ending 2025-12-14,01-50-00
JournalEntry,PAY-20251214,Wages,PRJ-003,685258,Site payroll allocation — fortnight ending 2025-12-14,01-50-00
JournalEntry,PAY-20251214,Wages,PRJ-004,740364,Site payroll allocation — fortnight ending 2025-12-14,01-50-00
JournalEntry,PAY-20251214,Wages,PRJ-005,1025740,Site payroll allocation — fortnight ending 2025-12-14,01-50-00
Bill,B-10296,Subcontractors,PRJ-003,1037785,Hydraulic services — Ashgrove Apartment Refurbishment — Dec 2025,22-00-00
Bill,B-10299,Preliminaries,PRJ-004,1018708,Site Services — Murrin Bridge Repair — Dec 2025,01-50-00
Bill,B-10287,Subcontractors,PRJ-002,871564,Hydraulic services — Meridian Medical Centre Fitout — Dec 2025,22-00-00
Bill,B-10286,Subcontractors,PRJ-002,476509,Painting package — Meridian Medical Centre Fitout — Dec 2025,09-90-00
Bill,B-10305,Subcontractors,PRJ-004,1506600,Electrical services — Murrin Bridge Repair — Dec 2025,26-00-00
Bill,B-10293,Subcontractors,PRJ-003,795077,Carpentry package — Ashgrove Apartment Refurbishment — Dec 2025,06-10-00
Bill,B-10284,Materials,PRJ-002,992727,Structural steel — Meridian Medical Centre Fitout — Dec 2025,05-12-00
Bill,B-10292,Materials,PRJ-003,1632000,Structural steel — Ashgrove Apartment Refurbishment — Dec 2025,05-12-00
Bill,B-10283,Materials,PRJ-002,1252364,Concrete supply — Meridian Medical Centre Fitout — Dec 2025,03-30-00
Bill,B-10294,Subcontractors,PRJ-003,931077,Partitions and linings — Ashgrove Apartment Refurbishment — Dec 2025,09-21-00
Bill,B-10297,Subcontractors,PRJ-003,711385,Mechanical services — Ashgrove Apartment Refurbishment — Dec 2025,23-00-00
Bill,B-10303,Subcontractors,PRJ-004,950031,Carpentry package — Murrin Bridge Repair — Dec 2025,06-10-00
Bill,B-10291,Demolition,PRJ-003,803446,Demolition works — Ashgrove Apartment Refurbishment — Dec 2025,02-41-00
Bill,B-10313,Plant Hire,PRJ-005,776250,Earthworks and plant — Ironbank Industrial Slab — Dec 2025,31-23-00
Bill,B-10302,Materials,PRJ-004,2269200,Structural steel — Murrin Bridge Repair — Dec 2025,05-12-00
Bill,B-10306,Demolition,PRJ-005,634800,Demolition works — Ironbank Industrial Slab — Dec 2025,02-41-00
Bill,B-10289,Plant Hire,PRJ-002,696436,Earthworks and plant — Meridian Medical Centre Fitout — Dec 2025,31-23-00
Bill,B-10288,Subcontractors,PRJ-002,879709,Electrical services — Meridian Medical Centre Fitout — Dec 2025,26-00-00
Bill,B-10298,Plant Hire,PRJ-003,866215,Earthworks and plant — Ashgrove Apartment Refurbishment — Dec 2025,31-23-00
Bill,B-10312,Subcontractors,PRJ-005,910800,Electrical services — Ironbank Industrial Slab — Dec 2025,26-00-00
Bill,B-10290,Preliminaries,PRJ-003,895508,Site Services — Ashgrove Apartment Refurbishment — Dec 2025,01-50-00
Bill,B-10307,Materials,PRJ-005,2399176,Structural steel — Ironbank Industrial Slab — Dec 2025,05-12-00
Bill,B-10308,Subcontractors,PRJ-005,763600,Carpentry package — Ironbank Industrial Slab — Dec 2025,06-10-00
JournalEntry,PAY-20251228,Wages,PRJ-002,914736,Site payroll allocation — fortnight ending 2025-12-28,01-50-00
JournalEntry,PAY-20251228,Wages,PRJ-003,837973,Site payroll allocation — fortnight ending 2025-12-28,01-50-00
JournalEntry,PAY-20251228,Wages,PRJ-004,649580,Site payroll allocation — fortnight ending 2025-12-28,01-50-00
JournalEntry,PAY-20251228,Wages,PRJ-005,664569,Site payroll allocation — fortnight ending 2025-12-28,01-50-00
Bill,B-10301,Materials,PRJ-004,1910077,Concrete supply — Murrin Bridge Repair — Dec 2025,03-30-00
Bill,B-10324,Subcontractors,PRJ-002,700509,Hydraulic services — Meridian Medical Centre Fitout — Jan 2026,22-00-00
Bill,B-10340,Subcontractors,PRJ-004,927138,Mechanical services — Murrin Bridge Repair — Jan 2026,23-00-00
Bill,B-10341,Plant Hire,PRJ-004,1377831,Earthworks and plant — Murrin Bridge Repair — Jan 2026,31-23-00
Bill,B-10343,Materials,PRJ-005,1900260,Concrete supply — Ironbank Industrial Slab — Jan 2026,03-30-00
Bill,B-10337,Subcontractors,PRJ-004,1058769,Partitions and linings — Murrin Bridge Repair — Jan 2026,09-21-00
Bill,B-10342,Preliminaries,PRJ-005,763600,Site Services — Ironbank Industrial Slab — Jan 2026,01-50-00
Bill,B-10345,Subcontractors,PRJ-005,772800,Carpentry package — Ironbank Industrial Slab — Jan 2026,06-10-00
Bill,B-10352,Subcontractors,PRJ-006,1514333,Partitions and linings — Sandstone School Upgrade — Jan 2026,09-21-00
Bill,B-10348,Subcontractors,PRJ-005,1045350,Electrical services — Ironbank Industrial Slab — Jan 2026,26-00-00
Bill,B-10355,Plant Hire,PRJ-006,1386000,Earthworks and plant — Sandstone School Upgrade — Jan 2026,31-23-00
Bill,B-10323,Subcontractors,PRJ-002,775855,Painting package — Meridian Medical Centre Fitout — Jan 2026,09-90-00
Bill,B-10332,Preliminaries,PRJ-004,1270523,Site Services — Murrin Bridge Repair — Jan 2026,01-50-00
Bill,B-10338,Subcontractors,PRJ-004,789785,Painting package — Murrin Bridge Repair — Jan 2026,09-90-00
Bill,B-10330,Subcontractors,PRJ-003,470769,Painting package — Ashgrove Apartment Refurbishment — Jan 2026,09-90-00
JournalEntry,PAY-20260114,Wages,PRJ-002,1366887,Site payroll allocation — fortnight ending 2026-01-14,01-50-00
JournalEntry,PAY-20260114,Wages,PRJ-003,751128,Site payroll allocation — fortnight ending 2026-01-14,01-50-00
JournalEntry,PAY-20260114,Wages,PRJ-004,655997,Site payroll allocation — fortnight ending 2026-01-14,01-50-00
JournalEntry,PAY-20260114,Wages,PRJ-005,962919,Site payroll allocation — fortnight ending 2026-01-14,01-50-00
JournalEntry,PAY-20260114,Wages,PRJ-006,690354,Site payroll allocation — fortnight ending 2026-01-14,01-50-00
Bill,B-10322,Subcontractors,PRJ-002,1402444,Partitions and linings — Meridian Medical Centre Fitout — Jan 2026,09-21-00
Bill,B-10327,Demolition,PRJ-003,552369,Demolition works — Ashgrove Apartment Refurbishment — Jan 2026,02-41-00
Bill,B-10329,Subcontractors,PRJ-003,920615,Carpentry package — Ashgrove Apartment Refurbishment — Jan 2026,06-10-00
Bill,B-10353,Subcontractors,PRJ-006,831600,Hydraulic services — Sandstone School Upgrade — Jan 2026,22-00-00
Bill,B-10326,Plant Hire,PRJ-002,989673,Earthworks and plant — Meridian Medical Centre Fitout — Jan 2026,31-23-00
Bill,B-10350,Preliminaries,PRJ-006,1149867,Site Services — Sandstone School Upgrade — Jan 2026,01-50-00
Bill,B-10351,Subcontractors,PRJ-006,1201200,Carpentry package — Sandstone School Upgrade — Jan 2026,06-10-00
Bill,B-10346,Subcontractors,PRJ-005,1219000,Partitions and linings — Ironbank Industrial Slab — Jan 2026,09-21-00
Bill,B-10319,Preliminaries,PRJ-002,1214487,Site Services — Meridian Medical Centre Fitout — Jan 2026,01-50-00
Bill,B-10344,Materials,PRJ-005,1565564,Structural steel — Ironbank Industrial Slab — Jan 2026,05-12-00
Bill,B-10328,Materials,PRJ-003,1412308,Concrete supply — Ashgrove Apartment Refurbishment — Jan 2026,03-30-00
Bill,B-10321,Subcontractors,PRJ-002,749382,Carpentry package — Meridian Medical Centre Fitout — Jan 2026,06-10-00
Bill,B-10334,Materials,PRJ-004,2446615,Concrete supply — Murrin Bridge Repair — Jan 2026,03-30-00
Bill,B-10325,Subcontractors,PRJ-002,741236,Mechanical services — Meridian Medical Centre Fitout — Jan 2026,23-00-00
Bill,B-10331,Subcontractors,PRJ-003,803446,Mechanical services — Ashgrove Apartment Refurbishment — Jan 2026,23-00-00
Bill,B-10347,Subcontractors,PRJ-005,1094800,Hydraulic services — Ironbank Industrial Slab — Jan 2026,22-00-00
Bill,B-10320,Materials,PRJ-002,1310400,Structural steel — Meridian Medical Centre Fitout — Jan 2026,05-12-00
Bill,B-10339,Subcontractors,PRJ-004,984369,Hydraulic services — Murrin Bridge Repair — Jan 2026,22-00-00
Bill,B-10336,Subcontractors,PRJ-004,927138,Carpentry package — Murrin Bridge Repair — Jan 2026,06-10-00
JournalEntry,PAY-20260128,Wages,PRJ-002,774729,Site payroll allocation — fortnight ending 2026-01-28,01-50-00
JournalEntry,PAY-20260128,Wages,PRJ-003,935285,Site payroll allocation — fortnight ending 2026-01-28,01-50-00
JournalEntry,PAY-20260128,Wages,PRJ-004,684718,Site payroll allocation — fortnight ending 2026-01-28,01-50-00
JournalEntry,PAY-20260128,Wages,PRJ-005,1006837,Site payroll allocation — fortnight ending 2026-01-28,01-50-00
JournalEntry,PAY-20260128,Wages,PRJ-006,765705,Site payroll allocation — fortnight ending 2026-01-28,01-50-00
Bill,B-10335,Materials,PRJ-004,2064600,Structural steel — Murrin Bridge Repair — Jan 2026,05-12-00
Bill,B-10333,Demolition,PRJ-004,1012985,Demolition works — Murrin Bridge Repair — Jan 2026,02-41-00
Bill,B-10349,Plant Hire,PRJ-005,1304100,Earthworks and plant — Ironbank Industrial Slab — Jan 2026,31-23-00
Bill,B-10354,Subcontractors,PRJ-006,1062600,Electrical services — Sandstone School Upgrade — Jan 2026,26-00-00
Bill,B-10383,Plant Hire,PRJ-004,1274815,Earthworks and plant — Murrin Bridge Repair — Feb 2026,31-23-00
Bill,B-10395,Demolition,PRJ-006,654500,Demolition works — Sandstone School Upgrade — Feb 2026,02-41-00
Bill,B-10382,Subcontractors,PRJ-004,1171800,Electrical services — Murrin Bridge Repair — Feb 2026,26-00-00
Bill,B-10361,Preliminaries,PRJ-002,832791,Site Services — Meridian Medical Centre Fitout — Feb 2026,01-50-00
Bill,B-10391,Subcontractors,PRJ-005,1168400,Mechanical services — Ironbank Industrial Slab — Feb 2026,23-00-00
Bill,B-10396,Materials,PRJ-006,2079000,Concrete supply — Sandstone School Upgrade — Feb 2026,03-30-00
Bill,B-10399,Subcontractors,PRJ-006,600600,Painting package — Sandstone School Upgrade — Feb 2026,09-90-00
Bill,B-10392,Subcontractors,PRJ-005,1304100,Electrical services — Ironbank Industrial Slab — Feb 2026,26-00-00
Bill,B-10400,Subcontractors,PRJ-006,1078000,Hydraulic services — Sandstone School Upgrade — Feb 2026,22-00-00
Bill,B-10374,Subcontractors,PRJ-003,1029415,Mechanical services — Ashgrove Apartment Refurbishment — Feb 2026,23-00-00
Bill,B-10388,Subcontractors,PRJ-005,726800,Carpentry package — Ironbank Industrial Slab — Feb 2026,06-10-00
Bill,B-10390,Subcontractors,PRJ-005,966000,Hydraulic services — Ironbank Industrial Slab — Feb 2026,22-00-00
Bill,B-10363,Materials,PRJ-002,1283927,Structural steel — Meridian Medical Centre Fitout — Feb 2026,05-12-00
Bill,B-10381,Subcontractors,PRJ-004,1098831,Mechanical services — Murrin Bridge Repair — Feb 2026,23-00-00
Bill,B-10384,Preliminaries,PRJ-005,947600,Site Services — Ironbank Industrial Slab — Feb 2026,01-50-00
Bill,B-10379,Subcontractors,PRJ-004,1344923,Partitions and linings — Murrin Bridge Repair — Feb 2026,09-21-00
Bill,B-10385,Demolition,PRJ-005,703800,Demolition works — Ironbank Industrial Slab — Feb 2026,02-41-00
Bill,B-10366,Subcontractors,PRJ-002,700509,Hydraulic services — Meridian Medical Centre Fitout — Feb 2026,22-00-00
Bill,B-10368,Subcontractors,PRJ-002,1127127,Electrical services — Meridian Medical Centre Fitout — Feb 2026,26-00-00
Bill,B-10371,Materials,PRJ-003,1161231,Concrete supply — Ashgrove Apartment Refurbishment — Feb 2026,03-30-00
JournalEntry,PAY-20260214,Wages,PRJ-002,972116,Site payroll allocation — fortnight ending 2026-02-14,01-50-00
JournalEntry,PAY-20260214,Wages,PRJ-003,1008521,Site payroll allocation — fortnight ending 2026-02-14,01-50-00
JournalEntry,PAY-20260214,Wages,PRJ-004,868038,Site payroll allocation — fortnight ending 2026-02-14,01-50-00
JournalEntry,PAY-20260214,Wages,PRJ-005,560680,Site payroll allocation — fortnight ending 2026-02-14,01-50-00
JournalEntry,PAY-20260214,Wages,PRJ-006,976700,Site payroll allocation — fortnight ending 2026-02-14,01-50-00
Bill,B-10372,Subcontractors,PRJ-003,962462,Carpentry package — Ashgrove Apartment Refurbishment — Feb 2026,06-10-00
Bill,B-10373,Subcontractors,PRJ-003,1265846,Partitions and linings — Ashgrove Apartment Refurbishment — Feb 2026,09-21-00
Bill,B-10398,Subcontractors,PRJ-006,954800,Carpentry package — Sandstone School Upgrade — Feb 2026,06-10-00
Bill,B-10394,Preliminaries,PRJ-006,821333,Site Services — Sandstone School Upgrade — Feb 2026,01-50-00
Bill,B-10375,Subcontractors,PRJ-003,819138,Electrical services — Ashgrove Apartment Refurbishment — Feb 2026,26-00-00
Bill,B-10364,Subcontractors,PRJ-002,757527,Carpentry package — Meridian Medical Centre Fitout — Feb 2026,06-10-00
Bill,B-10376,Plant Hire,PRJ-003,743815,Earthworks and plant — Ashgrove Apartment Refurbishment — Feb 2026,31-23-00
Bill,B-10387,Materials,PRJ-005,1545232,Structural steel — Ironbank Industrial Slab — Feb 2026,05-12-00
Bill,B-10378,Subcontractors,PRJ-004,1270523,Carpentry package — Murrin Bridge Repair — Feb 2026,06-10-00
Bill,B-10389,Subcontractors,PRJ-005,786600,Painting package — Ironbank Industrial Slab — Feb 2026,09-90-00
Bill,B-10393,Plant Hire,PRJ-005,1117800,Earthworks and plant — Ironbank Industrial Slab — Feb 2026,31-23-00
Bill,B-10397,Materials,PRJ-006,2002000,Structural steel — Sandstone School Upgrade — Feb 2026,05-12-00
Bill,B-10362,Materials,PRJ-002,1252364,Concrete supply — Meridian Medical Centre Fitout — Feb 2026,03-30-00
Bill,B-10369,Preliminaries,PRJ-003,694646,Site Services — Ashgrove Apartment Refurbishment — Feb 2026,01-50-00
Bill,B-10386,Materials,PRJ-005,2299080,Concrete supply — Ironbank Industrial Slab — Feb 2026,03-30-00
Bill,B-10365,Subcontractors,PRJ-002,537600,Painting package — Meridian Medical Centre Fitout — Feb 2026,09-90-00
Bill,B-10380,Subcontractors,PRJ-004,1178954,Hydraulic services — Murrin Bridge Repair — Feb 2026,22-00-00
Bill,B-10370,Demolition,PRJ-003,552369,Demolition works — Ashgrove Apartment Refurbishment — Feb 2026,02-41-00
Bill,B-10377,Preliminaries,PRJ-004,904246,Site Services — Murrin Bridge Repair — Feb 2026,01-50-00
Bill,B-10401,Subcontractors,PRJ-006,924000,Mechanical services — Sandstone School Upgrade — Feb 2026,23-00-00
Bill,B-10367,Subcontractors,PRJ-002,602764,Mechanical services — Meridian Medical Centre Fitout — Feb 2026,23-00-00
JournalEntry,PAY-20260228,Wages,PRJ-002,1239756,Site payroll allocation — fortnight ending 2026-02-28,01-50-00
JournalEntry,PAY-20260228,Wages,PRJ-003,699174,Site payroll allocation — fortnight ending 2026-02-28,01-50-00
JournalEntry,PAY-20260228,Wages,PRJ-004,938204,Site payroll allocation — fortnight ending 2026-02-28,01-50-00
JournalEntry,PAY-20260228,Wages,PRJ-005,872645,Site payroll allocation — fortnight ending 2026-02-28,01-50-00
JournalEntry,PAY-20260228,Wages,PRJ-006,592257,Site payroll allocation — fortnight ending 2026-02-28,01-50-00
Bill,B-10407,Demolition,PRJ-003,527262,Demolition works — Ashgrove Apartment Refurbishment — Mar 2026,02-41-00
Bill,B-10419,Subcontractors,PRJ-004,858462,Painting package — Murrin Bridge Repair — Mar 2026,09-90-00
Bill,B-10435,Subcontractors,PRJ-006,1262800,Mechanical services — Sandstone School Upgrade — Mar 2026,23-00-00
Bill,B-10420,Subcontractors,PRJ-004,1184677,Electrical services — Murrin Bridge Repair — Mar 2026,26-00-00
Bill,B-10421,Plant Hire,PRJ-004,952892,Earthworks and plant — Murrin Bridge Repair — Mar 2026,31-23-00
Bill,B-10412,Subcontractors,PRJ-003,800308,Electrical services — Ashgrove Apartment Refurbishment — Mar 2026,26-00-00
Bill,B-10411,Subcontractors,PRJ-003,862031,Mechanical services — Ashgrove Apartment Refurbishment — Mar 2026,23-00-00
Bill,B-10423,Demolition,PRJ-005,738300,Demolition works — Ironbank Industrial Slab — Mar 2026,02-41-00
Bill,B-10428,Plant Hire,PRJ-005,838350,Earthworks and plant — Ironbank Industrial Slab — Mar 2026,31-23-00
Bill,B-10415,Materials,PRJ-004,2360769,Concrete supply — Murrin Bridge Repair — Mar 2026,03-30-00
Bill,B-10431,Materials,PRJ-006,1651650,Structural steel — Sandstone School Upgrade — Mar 2026,05-12-00
Bill,B-10426,Subcontractors,PRJ-005,1207500,Partitions and linings — Ironbank Industrial Slab — Mar 2026,09-21-00
JournalEntry,PAY-20260314,Wages,PRJ-003,752701,Site payroll allocation — fortnight ending 2026-03-14,01-50-00
JournalEntry,PAY-20260314,Wages,PRJ-004,693784,Site payroll allocation — fortnight ending 2026-03-14,01-50-00
JournalEntry,PAY-20260314,Wages,PRJ-005,584863,Site payroll allocation — fortnight ending 2026-03-14,01-50-00
JournalEntry,PAY-20260314,Wages,PRJ-006,961457,Site payroll allocation — fortnight ending 2026-03-14,01-50-00
Bill,B-10424,Materials,PRJ-005,2697900,Concrete supply — Ironbank Industrial Slab — Mar 2026,03-30-00
Bill,B-10408,Subcontractors,PRJ-003,728123,Carpentry package — Ashgrove Apartment Refurbishment — Mar 2026,06-10-00
Bill,B-10425,Subcontractors,PRJ-005,920000,Carpentry package — Ironbank Industrial Slab — Mar 2026,06-10-00
Bill,B-10427,Subcontractors,PRJ-005,841800,Painting package — Ironbank Industrial Slab — Mar 2026,09-90-00
Bill,B-10429,Preliminaries,PRJ-006,1262800,Site Services — Sandstone School Upgrade — Mar 2026,01-50-00
CreditNote,CN-9001,Materials,PRJ-005,-485000,Credit — duplicate concrete delivery,03-30-00
Bill,B-10416,Materials,PRJ-004,1878600,Structural steel — Murrin Bridge Repair — Mar 2026,05-12-00
Bill,B-10437,Plant Hire,PRJ-006,1282050,Earthworks and plant — Sandstone School Upgrade — Mar 2026,31-23-00
Bill,B-10409,Subcontractors,PRJ-003,483323,Painting package — Ashgrove Apartment Refurbishment — Mar 2026,09-90-00
Bill,B-10432,Subcontractors,PRJ-006,1067733,Carpentry package — Sandstone School Upgrade — Mar 2026,06-10-00
Bill,B-10433,Subcontractors,PRJ-006,1424500,Partitions and linings — Sandstone School Upgrade — Mar 2026,09-21-00
Bill,B-10436,Subcontractors,PRJ-006,1455300,Electrical services — Sandstone School Upgrade — Mar 2026,26-00-00
Bill,B-10417,Subcontractors,PRJ-004,1064492,Carpentry package — Murrin Bridge Repair — Mar 2026,06-10-00
Bill,B-10422,Preliminaries,PRJ-005,717600,Site Services — Ironbank Industrial Slab — Mar 2026,01-50-00
Bill,B-10414,Demolition,PRJ-004,635262,Demolition works — Murrin Bridge Repair — Mar 2026,02-41-00
Bill,B-10418,Subcontractors,PRJ-004,1044462,Partitions and linings — Murrin Bridge Repair — Mar 2026,09-21-00
JournalEntry,PAY-20260328,Wages,PRJ-003,906184,Site payroll allocation — fortnight ending 2026-03-28,01-50-00
JournalEntry,PAY-20260328,Wages,PRJ-004,852687,Site payroll allocation — fortnight ending 2026-03-28,01-50-00
JournalEntry,PAY-20260328,Wages,PRJ-005,965959,Site payroll allocation — fortnight ending 2026-03-28,01-50-00
JournalEntry,PAY-20260328,Wages,PRJ-006,884680,Site payroll allocation — fortnight ending 2026-03-28,01-50-00
Bill,B-10410,Subcontractors,PRJ-003,610954,Hydraulic services — Ashgrove Apartment Refurbishment — Mar 2026,22-00-00
Bill,B-10413,Plant Hire,PRJ-003,696738,Earthworks and plant — Ashgrove Apartment Refurbishment — Mar 2026,31-23-00
Bill,B-10430,Materials,PRJ-006,2329250,Concrete supply — Sandstone School Upgrade — Mar 2026,03-30-00
Bill,B-10434,Subcontractors,PRJ-006,1283333,Hydraulic services — Sandstone School Upgrade — Mar 2026,22-00-00
