Summit Ridge Construction Pty Ltd,,,,,,,
Transaction Detail by Account,,,,,,,
"February 01, 2025 - July 31, 2026",,,,,,,

Transaction date,Transaction type,Num,Name,Customer/Project,Description,Amount,Balance
10/29/2025,Bill,B-10215,VoltEdge Electrical,,GST on B-10215,"$1,062.98","$230,040.93"
10/29/2025,Bill,B-10219,Precision Carpentry,,GST on B-10219,$795.08,"$230,836.01"
10/30/2025,Bill,B-10210,Site Establishment,,GST on B-10210,"$1,318.59","$232,154.60"
10/30/2025,Bill,B-10211,Boral Concrete,,GST on B-10211,"$1,848.00","$234,002.60"
10/30/2025,Bill,B-10226,SteelFab Australia,,GST on B-10226,"$2,250.60","$236,253.20"
11/04/2025,Bill,B-10264,Axis Interiors,,GST on B-10264,"$1,259.08","$237,512.28"
11/05/2025,Bill,B-10248,DemoSafe Services,,GST on B-10248,$769.75,"$238,282.03"
11/06/2025,Bill,B-10243,PrimeCo Painting,,GST on B-10243,$932.40,"$239,214.43"
11/06/2025,Bill,B-10266,Climate Mechanical,,GST on B-10266,"$1,259.08","$240,473.51"
11/06/2025,Bill,B-10273,Flowline Plumbing,,GST on B-10273,$984.40,"$241,457.91"
11/07/2025,Bill,B-10254,Site Establishment,,GST on B-10254,$769.97,"$242,227.88"
11/07/2025,Bill,B-10275,VoltEdge Electrical,,GST on B-10275,$983.25,"$243,211.13"
11/09/2025,Bill,B-10257,PrimeCo Painting,,GST on B-10257,$633.97,"$243,845.10"
11/09/2025,Bill,B-10270,Boral Concrete,,GST on B-10270,"$1,736.04","$245,581.14"
11/10/2025,Bill,B-10261,Boral Concrete,,GST on B-10261,"$2,038.85","$247,619.99"
11/11/2025,Bill,B-10258,Climate Mechanical,,GST on B-10258,$736.49,"$248,356.48"
11/11/2025,Bill,B-10274,Climate Mechanical,,GST on B-10274,"$1,067.20","$249,423.68"
11/12/2025,Bill,B-10262,SteelFab Australia,,GST on B-10262,"$2,250.60","$251,674.28"
11/12/2025,Bill,B-10278,OfficeWorks,,GST on B-10278,$315.03,"$251,989.31"
11/13/2025,Bill,B-10244,Flowline Plumbing,,GST on B-10244,$935.36,"$252,924.67"
11/13/2025,Bill,B-10267,VoltEdge Electrical,,GST on B-10267,"$1,184.68","$254,109.35"
11/14/2025,Bill,B-10268,CivilWorks Earthmoving,,GST on B-10268,"$1,236.19","$255,345.54"
11/15/2025,Bill,B-10242,Axis Interiors,,GST on B-10242,"$1,480.00","$256,825.54"
11/15/2025,Bill,B-10245,Climate Mechanical,,GST on B-10245,"$1,337.92","$258,163.46"
11/15/2025,Bill,B-10253,VoltEdge Electrical,,GST on B-10253,$852.22,"$259,015.68"
11/15/2025,Bill,B-10255,Precision Carpentry,,GST on B-10255,$928.99,"$259,944.67"
11/16/2025,Bill,B-10251,Flowline Plumbing,,GST on B-10251,$855.27,"$260,799.94"
11/16/2025,Bill,B-10265,PrimeCo Painting,,GST on B-10265,$918.55,"$261,718.49"
11/16/2025,Bill,B-10280,FleetFuel Australia,,GST on B-10280,$384.63,"$262,103.12"
11/17/2025,Bill,B-10252,Climate Mechanical,,GST on B-10252,$790.11,"$262,893.23"
11/17/2025,Bill,B-10263,Precision Carpentry,,GST on B-10263,"$1,373.54","$264,266.77"
11/18/2025,Bill,B-10260,DemoSafe Services,,GST on B-10260,$686.77,"$264,953.54"
11/20/2025,Bill,B-10239,Site Establishment,,GST on B-10239,"$1,195.84","$266,149.38"
11/20/2025,Bill,B-10247,Site Establishment,,GST on B-10247,"$1,457.39","$267,606.77"
11/21/2025,Bill,B-10279,SecureSure Insurance,,GST on B-10279,$430.99,"$268,037.76"
11/23/2025,Bill,B-10240,DemoSafe Services,,GST on B-10240,"$1,003.44","$269,041.20"
11/23/2025,Bill,B-10241,Precision Carpentry,,GST on B-10241,"$1,444.48","$270,485.68"
11/23/2025,Bill,B-10256,Axis Interiors,,GST on B-10256,"$1,035.69","$271,521.37"
11/23/2025,Bill,B-10271,Precision Carpentry,,GST on B-10271,"$1,048.80","$272,570.17"
11/23/2025,Bill,B-10272,PrimeCo Painting,,GST on B-10272,$862.50,"$273,432.67"
11/24/2025,Bill,B-10269,Site Establishment,,GST on B-10269,$754.40,"$274,187.07"
11/25/2025,Bill,B-10259,VoltEdge Electrical,,GST on B-10259,$960.37,"$275,147.44"
11/27/2025,Bill,B-10246,VoltEdge Electrical,,GST on B-10246,"$1,172.16","$276,319.60"
11/27/2025,Bill,B-10250,PrimeCo Painting,,GST on B-10250,$464.29,"$276,783.89"
11/28/2025,Bill,B-10249,SteelFab Australia,,GST on B-10249,"$1,424.59","$278,208.48"
12/02/2025,Bill,B-10318,FleetFuel Australia,,GST on B-10318,$310.32,"$278,518.80"
12/04/2025,Bill,B-10281,Site Establishment,,GST on B-10281,"$1,295.45","$279,814.25"
12/05/2025,Bill,B-10285,Precision Carpentry,,GST on B-10285,$676.07,"$280,490.32"
12/06/2025,Bill,B-10282,DemoSafe Services,,GST on B-10282,$537.60,"$281,027.92"
12/07/2025,Bill,B-10311,Climate Mechanical,,GST on B-10311,"$1,113.20","$282,141.12"
12/08/2025,Bill,B-10309,Axis Interiors,,GST on B-10309,$862.50,"$283,003.62"
12/11/2025,Bill,B-10295,PrimeCo Painting,,GST on B-10295,$728.12,"$283,731.74"
12/11/2025,Bill,B-10300,DemoSafe Services,,GST on B-10300,$789.79,"$284,521.53"
12/11/2025,Bill,B-10316,OfficeWorks,,GST on B-10316,$292.80,"$284,814.33"
12/13/2025,Bill,B-10304,Climate Mechanical,,GST on B-10304,"$1,213.29","$286,027.62"
12/13/2025,Bill,B-10310,PrimeCo Painting,,GST on B-10310,$876.30,"$286,903.92"
12/13/2025,Bill,B-10317,SecureSure Insurance,,GST on B-10317,$314.55,"$287,218.47"
12/15/2025,Bill,B-10296,Flowline Plumbing,,GST on B-10296,"$1,037.79","$288,256.26"
12/15/2025,Bill,B-10299,Site Establishment,,GST on B-10299,"$1,018.71","$289,274.97"
12/16/2025,Bill,B-10287,Flowline Plumbing,,GST on B-10287,$871.56,"$290,146.53"
12/17/2025,Bill,B-10286,PrimeCo Painting,,GST on B-10286,$476.51,"$290,623.04"
12/17/2025,Bill,B-10305,VoltEdge Electrical,,GST on B-10305,"$1,506.60","$292,129.64"
12/18/2025,Bill,B-10293,Precision Carpentry,,GST on B-10293,$795.08,"$292,924.72"
12/19/2025,Bill,B-10284,SteelFab Australia,,GST on B-10284,$992.73,"$293,917.45"
12/19/2025,Bill,B-10292,SteelFab Australia,,GST on B-10292,"$1,632.00","$295,549.45"
12/20/2025,Bill,B-10283,Boral Concrete,,GST on B-10283,"$1,252.36","$296,801.81"
12/20/2025,Bill,B-10294,Axis Interiors,,GST on B-10294,$931.08,"$297,732.89"
12/21/2025,Bill,B-10297,Climate Mechanical,,GST on B-10297,$711.39,"$298,444.28"
12/21/2025,Bill,B-10303,Precision Carpentry,,GST on B-10303,$950.03,"$299,394.31"
12/22/2025,Bill,B-10291,DemoSafe Services,,GST on B-10291,$803.45,"$300,197.76"
12/22/2025,Bill,B-10313,CivilWorks Earthmoving,,GST on B-10313,$776.25,"$300,974.01"
12/23/2025,Bill,B-10302,SteelFab Australia,,GST on B-10302,"$2,269.20","$303,243.21"
12/23/2025,Bill,B-10306,DemoSafe Services,,GST on B-10306,$634.80,"$303,878.01"
12/24/2025,Bill,B-10289,CivilWorks Earthmoving,,GST on B-10289,$696.44,"$304,574.45"
12/25/2025,Bill,B-10288,VoltEdge Electrical,,GST on B-10288,$879.71,"$305,454.16"
12/25/2025,Bill,B-10298,CivilWorks Earthmoving,,GST on B-10298,$866.22,"$306,320.38"
12/25/2025,Bill,B-10312,VoltEdge Electrical,,GST on B-10312,$910.80,"$307,231.18"
12/26/2025,Bill,B-10290,Site Establishment,,GST on B-10290,$895.51,"$308,126.69"
12/26/2025,Bill,B-10307,SteelFab Australia,,GST on B-10307,"$2,399.18","$310,525.87"
12/26/2025,Bill,B-10308,Precision Carpentry,,GST on B-10308,$763.60,"$311,289.47"
12/29/2025,Bill,B-10301,Boral Concrete,,GST on B-10301,"$1,910.08","$313,199.55"
01/02/2026,Bill,B-10360,FleetFuel Australia,,GST on B-10360,$302.10,"$313,501.65"
01/07/2026,Bill,B-10324,Flowline Plumbing,,GST on B-10324,$700.51,"$314,202.16"
01/07/2026,Bill,B-10340,Climate Mechanical,,GST on B-10340,$927.14,"$315,129.30"
01/07/2026,Bill,B-10341,CivilWorks Earthmoving,,GST on B-10341,"$1,377.83","$316,507.13"
01/07/2026,Bill,B-10343,Boral Concrete,,GST on B-10343,"$1,900.26","$318,407.39"
01/08/2026,Bill,B-10337,Axis Interiors,,GST on B-10337,"$1,058.77","$319,466.16"
01/08/2026,Bill,B-10342,Site Establishment,,GST on B-10342,$763.60,"$320,229.76"
01/08/2026,Bill,B-10345,Precision Carpentry,,GST on B-10345,$772.80,"$321,002.56"
01/08/2026,Bill,B-10352,Axis Interiors,,GST on B-10352,"$1,514.33","$322,516.89"
01/10/2026,Bill,B-10348,VoltEdge Electrical,,GST on B-10348,"$1,045.35","$323,562.24"
01/12/2026,Bill,B-10355,CivilWorks Earthmoving,,GST on B-10355,"$1,386.00","$324,948.24"
01/13/2026,Bill,B-10323,PrimeCo Painting,,GST on B-10323,$775.86,"$325,724.10"
01/13/2026,Bill,B-10332,Site Establishment,,GST on B-10332,"$1,270.52","$326,994.62"
01/13/2026,Bill,B-10338,PrimeCo Painting,,GST on B-10338,$789.79,"$327,784.41"
01/14/2026,Bill,B-10330,PrimeCo Painting,,GST on B-10330,$470.77,"$328,255.18"
01/14/2026,Bill,B-10359,SecureSure Insurance,,GST on B-10359,$248.55,"$328,503.73"
01/15/2026,Bill,B-10322,Axis Interiors,,GST on B-10322,"$1,402.44","$329,906.17"
01/15/2026,Bill,B-10327,DemoSafe Services,,GST on B-10327,$552.37,"$330,458.54"
01/15/2026,Bill,B-10329,Precision Carpentry,,GST on B-10329,$920.62,"$331,379.16"
01/15/2026,Bill,B-10353,Flowline Plumbing,,GST on B-10353,$852.99,"$332,232.15"
01/16/2026,Bill,B-10326,CivilWorks Earthmoving,,GST on B-10326,$989.67,"$333,221.82"
01/16/2026,Bill,B-10350,Site Establishment,,GST on B-10350,"$1,149.87","$334,371.69"
01/16/2026,Bill,B-10351,Precision Carpentry,,GST on B-10351,"$1,201.20","$335,572.89"
01/17/2026,Bill,B-10346,Axis Interiors,,GST on B-10346,"$1,219.00","$336,791.89"
01/18/2026,Bill,B-10319,Site Establishment,,GST on B-10319,"$1,214.49","$338,006.38"
01/19/2026,Bill,B-10344,SteelFab Australia,,GST on B-10344,"$1,565.56","$339,571.94"
01/20/2026,Bill,B-10358,OfficeWorks,,GST on B-10358,$329.62,"$339,901.56"
01/21/2026,Bill,B-10328,Boral Concrete,,GST on B-10328,"$1,412.31","$341,313.87"
01/24/2026,Bill,B-10321,Precision Carpentry,,GST on B-10321,$749.38,"$342,063.25"
01/24/2026,Bill,B-10334,Boral Concrete,,GST on B-10334,"$2,446.62","$344,509.87"
01/25/2026,Bill,B-10325,Climate Mechanical,,GST on B-10325,$741.24,"$345,251.11"
01/26/2026,Bill,B-10331,Climate Mechanical,,GST on B-10331,$803.45,"$346,054.56"
01/26/2026,Bill,B-10347,Flowline Plumbing,,GST on B-10347,"$1,094.80","$347,149.36"
01/27/2026,Bill,B-10320,SteelFab Australia,,GST on B-10320,"$1,310.40","$348,459.76"
01/27/2026,Bill,B-10339,Flowline Plumbing,,GST on B-10339,$984.37,"$349,444.13"
01/28/2026,Bill,B-10336,Precision Carpentry,,GST on B-10336,$927.14,"$350,371.27"
01/29/2026,Bill,B-10335,SteelFab Australia,,GST on B-10335,"$2,064.60","$352,435.87"
01/30/2026,Bill,B-10333,DemoSafe Services,,GST on B-10333,"$1,012.99","$353,448.86"
01/30/2026,Bill,B-10349,CivilWorks Earthmoving,,GST on B-10349,"$1,304.10","$354,752.96"
01/30/2026,Bill,B-10354,VoltEdge Electrical,,GST on B-10354,"$1,062.60","$355,815.56"
02/05/2026,Bill,B-10383,CivilWorks Earthmoving,,GST on B-10383,"$1,274.82","$357,090.38"
02/05/2026,Bill,B-10395,DemoSafe Services,,GST on B-10395,$654.50,"$357,744.88"
02/06/2026,Bill,B-10382,VoltEdge Electrical,,GST on B-10382,"$1,171.80","$358,916.68"
02/06/2026,Bill,B-10404,OfficeWorks,,GST on B-10404,$409.31,"$359,325.99"
02/07/2026,Bill,B-10405,SecureSure Insurance,,GST on B-10405,$474.71,"$359,800.70"
02/08/2026,Bill,B-10361,Site Establishment,,GST on B-10361,$832.79,"$360,633.49"
02/08/2026,Bill,B-10391,Climate Mechanical,,GST on B-10391,"$1,168.40","$361,801.89"
02/09/2026,Bill,B-10396,Boral Concrete,,GST on B-10396,"$2,094.87","$363,896.76"
02/09/2026,Bill,B-10399,PrimeCo Painting,,GST on B-10399,$600.60,"$364,497.36"
02/10/2026,Bill,B-10392,VoltEdge Electrical,,GST on B-10392,"$1,304.10","$365,801.46"
02/10/2026,Bill,B-10400,Flowline Plumbing,,GST on B-10400,"$1,099.37","$366,900.83"
02/11/2026,Bill,B-10374,Climate Mechanical,,GST on B-10374,"$1,029.42","$367,930.25"
02/11/2026,Bill,B-10388,Precision Carpentry,,GST on B-10388,$726.80,"$368,657.05"
02/11/2026,Bill,B-10390,Flowline Plumbing,,GST on B-10390,$966.00,"$369,623.05"
02/12/2026,Bill,B-10363,SteelFab Australia,,GST on B-10363,"$1,283.93","$370,906.98"
02/12/2026,Bill,B-10381,Climate Mechanical,,GST on B-10381,"$1,115.77","$372,022.75"
02/12/2026,Bill,B-10384,Site Establishment,,GST on B-10384,$985.34,"$373,008.09"
02/13/2026,Bill,B-10379,Axis Interiors,,GST on B-10379,"$1,344.92","$374,353.01"
02/13/2026,Bill,B-10385,DemoSafe Services,,GST on B-10385,$703.80,"$375,056.81"
02/14/2026,Bill,B-10366,Flowline Plumbing,,GST on B-10366,$700.51,"$375,757.32"
02/14/2026,Bill,B-10368,VoltEdge Electrical,,GST on B-10368,"$1,127.13","$376,884.45"
02/14/2026,Bill,B-10371,Boral Concrete,,GST on B-10371,"$1,161.23","$378,045.68"
02/15/2026,Bill,B-10372,Precision Carpentry,,GST on B-10372,$962.46,"$379,008.14"
02/16/2026,Bill,B-10373,Axis Interiors,,GST on B-10373,"$1,265.85","$380,273.99"
02/16/2026,Bill,B-10398,Precision Carpentry,,GST on B-10398,$993.64,"$381,267.63"
02/17/2026,Bill,B-10394,Site Establishment,,GST on B-10394,$821.33,"$382,088.96"
02/18/2026,Bill,B-10375,VoltEdge Electrical,,GST on B-10375,$819.14,"$382,908.10"
02/19/2026,Bill,B-10364,Precision Carpentry,,GST on B-10364,$757.53,"$383,665.63"
02/20/2026,Bill,B-10376,CivilWorks Earthmoving,,GST on B-10376,$743.82,"$384,409.45"
02/20/2026,Bill,B-10387,SteelFab Australia,,GST on B-10387,"$1,545.23","$385,954.68"
02/21/2026,Bill,B-10406,FleetFuel Australia,,GST on B-10406,$394.37,"$386,349.05"
02/22/2026,Bill,B-10378,Precision Carpentry,,GST on B-10378,"$1,270.52","$387,619.57"
02/22/2026,Bill,B-10389,PrimeCo Painting,,GST on B-10389,$786.60,"$388,406.17"
02/22/2026,Bill,B-10393,CivilWorks Earthmoving,,GST on B-10393,"$1,117.80","$389,523.97"
02/22/2026,Bill,B-10397,SteelFab Australia,,GST on B-10397,"$2,002.00","$391,525.97"
02/23/2026,Bill,B-10362,Boral Concrete,,GST on B-10362,"$1,252.36","$392,778.33"
02/23/2026,Bill,B-10369,Site Establishment,,GST on B-10369,$720.66,"$393,498.99"
02/23/2026,Bill,B-10386,Boral Concrete,,GST on B-10386,"$2,299.08","$395,798.07"
02/24/2026,Bill,B-10365,PrimeCo Painting,,GST on B-10365,$537.60,"$396,335.67"
02/24/2026,Bill,B-10380,Flowline Plumbing,,GST on B-10380,"$1,178.95","$397,514.62"
02/25/2026,Bill,B-10370,DemoSafe Services,,GST on B-10370,$552.37,"$398,066.99"
02/25/2026,Bill,B-10377,Site Establishment,,GST on B-10377,$904.25,"$398,971.24"
02/26/2026,Bill,B-10401,Climate Mechanical,,GST on B-10401,$924.00,"$399,895.24"
02/27/2026,Bill,B-10367,Climate Mechanical,,GST on B-10367,$602.76,"$400,498.00"
03/04/2026,Bill,B-10407,DemoSafe Services,,GST on B-10407,$527.26,"$401,025.26"
03/04/2026,Bill,B-10419,PrimeCo Painting,,GST on B-10419,$858.46,"$401,883.72"
03/05/2026,Bill,B-10435,Climate Mechanical,,GST on B-10435,"$1,262.80","$403,146.52"
03/06/2026,Bill,B-10420,VoltEdge Electrical,,GST on B-10420,"$1,184.68","$404,331.20"
03/06/2026,Bill,B-10421,CivilWorks Earthmoving,,GST on B-10421,$952.89,"$405,284.09"
03/07/2026,Bill,B-10412,VoltEdge Electrical,,GST on B-10412,$800.31,"$406,084.40"
03/08/2026,Bill,B-10411,Climate Mechanical,,GST on B-10411,$862.03,"$406,946.43"
03/08/2026,Bill,B-10423,DemoSafe Services,,GST on B-10423,$738.30,"$407,684.73"
03/08/2026,Bill,B-10428,CivilWorks Earthmoving,,GST on B-10428,$838.35,"$408,523.08"
03/11/2026,Bill,B-10415,Boral Concrete,,GST on B-10415,"$2,360.77","$410,883.85"
03/11/2026,Bill,B-10440,OfficeWorks,,GST on B-10440,$496.38,"$411,380.23"
03/13/2026,Bill,B-10431,SteelFab Australia,,GST on B-10431,"$1,651.65","$413,031.88"
03/14/2026,Bill,B-10426,Axis Interiors,,GST on B-10426,"$1,207.50","$414,239.38"
03/14/2026,Bill,B-10441,SecureSure Insurance,,GST on B-10441,$218.94,"$414,458.32"
03/16/2026,Bill,B-10424,Boral Concrete,,GST on B-10424,"$2,697.90","$417,156.22"
03/17/2026,Bill,B-10408,Precision Carpentry,,GST on B-10408,$728.12,"$417,884.34"
03/17/2026,Bill,B-10425,Precision Carpentry,,GST on B-10425,$920.00,"$418,804.34"
03/18/2026,Bill,B-10427,PrimeCo Painting,,GST on B-10427,$841.80,"$419,646.14"
03/18/2026,Bill,B-10429,Site Establishment,,GST on B-10429,"$1,262.80","$420,908.94"
03/18/2026,CreditNote,CN-9001,Boral Concrete,,GST on CN-9001,-$485.00,"$420,423.94"
03/19/2026,Bill,B-10442,FleetFuel Australia,,GST on B-10442,$219.06,"$420,643.00"
03/21/2026,Bill,B-10416,SteelFab Australia,,GST on B-10416,"$1,878.60","$422,521.60"
03/21/2026,Bill,B-10437,CivilWorks Earthmoving,,GST on B-10437,"$1,282.05","$423,803.65"
03/22/2026,Bill,B-10409,PrimeCo Painting,,GST on B-10409,$483.32,"$424,286.97"
03/22/2026,Bill,B-10432,Precision Carpentry,,GST on B-10432,"$1,067.73","$425,354.70"
03/22/2026,Bill,B-10433,Axis Interiors,,GST on B-10433,"$1,424.50","$426,779.20"
03/23/2026,Bill,B-10436,VoltEdge Electrical,,GST on B-10436,"$1,455.30","$428,234.50"
03/24/2026,Bill,B-10417,Precision Carpentry,,GST on B-10417,"$1,064.49","$429,298.99"
03/24/2026,Bill,B-10422,Site Establishment,,GST on B-10422,$717.60,"$430,016.59"
03/27/2026,Bill,B-10414,DemoSafe Services,,GST on B-10414,$635.26,"$430,651.85"
03/27/2026,Bill,B-10418,Axis Interiors,,GST on B-10418,"$1,044.46","$431,696.31"
03/29/2026,Bill,B-10410,Flowline Plumbing,,GST on B-10410,$610.95,"$432,307.26"
03/29/2026,Bill,B-10413,CivilWorks Earthmoving,,GST on B-10413,$696.74,"$433,004.00"
03/30/2026,Bill,B-10430,Boral Concrete,,GST on B-10430,"$2,329.25","$435,333.25"
03/30/2026,Bill,B-10434,Flowline Plumbing,,GST on B-10434,"$1,283.33","$436,616.58"
04/05/2026,Bill,B-10473,OfficeWorks,,GST on B-10473,$235.13,"$436,851.71"
04/05/2026,Bill,B-10475,FleetFuel Australia,,GST on B-10475,$388.83,"$437,240.54"
04/06/2026,Bill,B-10455,VoltEdge Electrical,,GST on B-10455,"$1,545.23","$438,785.77"
04/07/2026,Bill,B-VOID-01,Coates Hire,,Voided: GST on B-VOID-01,$0.00,"$438,785.77"
04/08/2026,Bill,B-10461,VoltEdge Electrical,,GST on B-10461,$900.45,"$439,686.22"
04/09/2026,Bill,B-10451,Boral Concrete,,GST on B-10451,"$2,253.46","$441,939.68"
04/09/2026,Bill,B-10456,Site Establishment,,GST on B-10456,$956.80,"$442,896.48"
04/09/2026,Bill,B-10464,Boral Concrete,,GST on B-10464,"$1,538.51","$444,434.99"
04/11/2026,Bill,B-10469,Climate Mechanical,,GST on B-10469,"$1,098.53","$445,533.52"
04/12/2026,Bill,B-10443,Boral Concrete,,GST on B-10443,"$1,302.46","$446,835.98"
04/13/2026,Bill,B-10454,Flowline Plumbing,,GST on B-10454,"$1,167.51","$448,003.49"
04/15/2026,Bill,B-10457,DemoSafe Services,,GST on B-10457,$848.70,"$448,852.19"
04/17/2026,Bill,B-10467,PrimeCo Painting,,GST on B-10467,$970.20,"$449,822.39"
04/18/2026,Bill,B-10446,PrimeCo Painting,,GST on B-10446,$520.99,"$450,343.38"
04/18/2026,Bill,B-10474,SecureSure Insurance,,GST on B-10474,$141.51,"$450,484.89"
04/19/2026,Bill,B-10459,SteelFab Australia,,GST on B-10459,"$2,480.50","$452,965.39"
04/19/2026,Bill,B-10463,DemoSafe Services,,GST on B-10463,$708.40,"$453,673.79"
04/19/2026,Bill,B-10465,SteelFab Australia,,GST on B-10465,"$2,085.42","$455,759.21"
04/20/2026,Bill,B-10447,Climate Mechanical,,GST on B-10447,$803.45,"$456,562.66"
04/20/2026,Bill,B-10452,Precision Carpentry,,GST on B-10452,"$1,133.17","$457,695.83"
04/20/2026,Bill,B-10460,Precision Carpentry,,GST on B-10460,$993.60,"$458,689.43"
04/20/2026,Bill,B-10468,Flowline Plumbing,,GST on B-10468,$944.53,"$459,633.96"
04/22/2026,Bill,B-10450,Site Establishment,,GST on B-10450,$874.56,"$460,508.52"
04/23/2026,Bill,B-10458,Boral Concrete,,GST on B-10458,"$2,205.24","$462,713.76"
04/25/2026,Bill,B-10453,PrimeCo Painting,,GST on B-10453,$695.35,"$463,409.11"
04/26/2026,Bill,B-10445,Axis Interiors,,GST on B-10445,"$1,224.00","$464,633.11"
04/26/2026,Bill,B-10462,CivilWorks Earthmoving,,GST on B-10462,$817.65,"$465,450.76"
04/27/2026,Bill,B-10470,VoltEdge Electrical,,GST on B-10470,$935.55,"$466,386.31"
04/29/2026,Bill,B-10444,Precision Carpentry,,GST on B-10444,"$1,084.37","$467,470.68"
04/29/2026,Bill,B-10448,VoltEdge Electrical,,GST on B-10448,$952.57,"$468,423.25"
04/29/2026,Bill,B-10449,CivilWorks Earthmoving,,GST on B-10449,$988.62,"$469,411.87"
04/29/2026,Bill,B-10466,Axis Interiors,,GST on B-10466,"$1,424.50","$470,836.37"
05/04/2026,Bill,B-10481,Axis Interiors,,GST on B-10481,$826.46,"$471,662.83"
05/05/2026,Bill,B-10483,Flowline Plumbing,,GST on B-10483,$652.80,"$472,315.63"
05/05/2026,Bill,B-10510,OfficeWorks,,GST on B-10510,$334.95,"$472,650.58"
05/07/2026,Bill,B-10497,PrimeCo Painting,,GST on B-10497,$627.90,"$473,278.48"
05/07/2026,Bill,B-10512,FleetFuel Australia,,GST on B-10512,$156.04,"$473,434.52"
05/10/2026,Bill,B-10478,Boral Concrete,,GST on B-10478,"$1,710.46","$475,144.98"
05/10/2026,Bill,B-10479,SteelFab Australia,,GST on B-10479,"$1,468.80","$476,613.78"
05/11/2026,Bill,B-10494,Site Establishment,,GST on B-10494,$874.00,"$477,487.78"
05/11/2026,Bill,B-10506,VoltEdge Electrical,,GST on B-10506,$854.70,"$478,342.48"
05/11/2026,Bill,B-AMB-01,General Trade Supplies,,GST on B-AMB-01,$163.75,"$478,506.23"
05/12/2026,Bill,B-10492,Axis Interiors,,GST on B-10492,"$1,316.31","$479,822.54"
05/12/2026,Bill,B-10511,SecureSure Insurance,,GST on B-10511,$256.30,"$480,078.84"
05/13/2026,Bill,B-10476,Site Establishment,,GST on B-10476,$820.19,"$480,899.03"
05/13/2026,Bill,B-10496,Precision Carpentry,,GST on B-10496,$799.21,"$481,698.24"
05/14/2026,Bill,B-10488,DemoSafe Services,,GST on B-10488,$927.14,"$482,625.38"
05/14/2026,Bill,B-10502,DemoSafe Services,,GST on B-10502,$900.90,"$483,526.28"
05/18/2026,Bill,B-10489,Boral Concrete,,GST on B-10489,"$1,802.77","$485,329.05"
05/18/2026,Bill,B-10495,Boral Concrete,,GST on B-10495,"$1,876.80","$487,205.85"
05/19/2026,Bill,B-10500,CivilWorks Earthmoving,,GST on B-10500,"$1,242.00","$488,447.85"
05/20/2026,Bill,B-10485,VoltEdge Electrical,,GST on B-10485,$781.48,"$489,229.33"
05/20/2026,Bill,B-10486,CivilWorks Earthmoving,,GST on B-10486,$837.97,"$490,067.30"
05/21/2026,Bill,B-10498,Flowline Plumbing,,GST on B-10498,$947.60,"$491,014.90"
05/23/2026,Bill,B-10484,Climate Mechanical,,GST on B-10484,$610.95,"$491,625.85"
05/23/2026,Bill,B-10490,SteelFab Australia,,GST on B-10490,"$1,841.40","$493,467.25"
05/23/2026,Bill,B-10491,Precision Carpentry,,GST on B-10491,$938.59,"$494,405.84"
05/24/2026,Bill,B-10499,Climate Mechanical,,GST on B-10499,$745.20,"$495,151.04"
05/24/2026,Bill,B-10504,Precision Carpentry,,GST on B-10504,$831.60,"$495,982.64"
05/25/2026,Bill,B-10480,Precision Carpentry,,GST on B-10480,$694.65,"$496,677.29"
05/25/2026,Bill,B-10487,Site Establishment,,GST on B-10487,"$1,018.71","$497,696.00"
05/25/2026,Bill,B-10501,Site Establishment,,GST on B-10501,"$1,088.27","$498,784.27"
05/26/2026,Bill,B-10482,PrimeCo Painting,,GST on B-10482,$753.23,"$499,537.50"
05/26/2026,Bill,B-10507,CivilWorks Earthmoving,,GST on B-10507,"$1,155.00","$500,692.50"
05/27/2026,Bill,B-10477,DemoSafe Services,,GST on B-10477,$546.09,"$501,238.59"
05/27/2026,Bill,B-10503,SteelFab Australia,,GST on B-10503,"$1,835.17","$503,073.76"
05/27/2026,Bill,B-10505,Axis Interiors,,GST on B-10505,"$1,360.33","$504,434.09"
05/29/2026,Bill,B-10493,VoltEdge Electrical,,GST on B-10493,"$1,120.29","$505,554.38"
06/08/2026,Bill,B-10517,Flowline Plumbing,,GST on B-10517,"$1,062.89","$506,617.27"
06/09/2026,Bill,B-SPLIT-01,SteelFab Australia,,GST on B-SPLIT-01,"$2,142.50","$508,759.77"
06/10/2026,Bill,B-10527,Boral Concrete,,GST on B-10527,"$2,002.00","$510,761.77"
06/10/2026,Bill,B-10529,Axis Interiors,,GST on B-10529,"$1,270.50","$512,032.27"
06/10/2026,Bill,B-10530,PrimeCo Painting,,GST on B-10530,$931.70,"$512,963.97"
06/12/2026,Bill,B-10513,Site Establishment,,GST on B-10513,$938.59,"$513,902.56"
06/13/2026,Bill,B-10518,Climate Mechanical,,GST on B-10518,$728.12,"$514,630.68"
06/15/2026,Bill,B-10528,Precision Carpentry,,GST on B-10528,$975.33,"$515,606.01"
06/15/2026,Bill,B-10532,VoltEdge Electrical,,GST on B-10532,$889.35,"$516,495.36"
06/16/2026,Bill,B-10514,Boral Concrete,,GST on B-10514,"$1,807.56","$518,302.92"
06/16/2026,Bill,B-10516,Axis Interiors,,GST on B-10516,"$1,150.77","$519,453.69"
06/17/2026,Bill,B-10537,SecureSure Insurance,,GST on B-10537,$515.96,"$519,969.65"
06/17/2026,Bill,B-10538,FleetFuel Australia,,GST on B-10538,$348.97,"$520,318.62"
